time,vehicle_id,x,y,z,speed
10,veh0,51.42,187.05,36,10
11,veh0,61.24,188.04,36,9.87
12,veh0,70.11,188.94,36,8.92
13,veh0,79.52,189.89,38,9.45
14,veh0,88.83,190.83,38,9.36
15,veh0,98.22,191.77,38,9.44
16,veh0,107.27,192.69,38,9.1
17,veh0,116.87,193.7,38,9.66
18,veh0,125.61,194.82,38,8.81
19,veh0,135.19,196.05,38,9.66
20,veh0,144.11,197.19,38,8.99
21,veh0,153.93,198.45,38,9.9
22,veh0,163.34,199.65,38,9.49
23,veh0,173.2,200.92,38,9.94
24,veh0,182.15,202.06,38,9.03
25,veh0,191.67,203.37,38,9.61
26,veh0,200.86,204.74,38,9.29
27,veh0,209.85,206.08,38,9.09
28,veh0,218.67,207.39,38,8.92
29,veh0,227.7,208.73,35,9.13
30,veh0,236.61,210.06,35,9.02
31,veh0,246.47,211.52,35,9.97
32,veh0,255.96,212.93,35,9.59
33,veh0,265.56,214.36,35,9.72
34,veh0,274.42,215.68,35,8.96
35,veh0,283.75,217.07,35,9.43
36,veh0,293.35,218.49,35,9.71
37,veh0,301.96,219.77,35,8.7
38,veh0,311.77,221.23,35,9.92
39,veh0,321.66,222.7,35,10
40,veh0,331.42,224.18,35,9.87
41,veh0,340.76,225.59,35,9.44
42,veh0,350.1,227,35,9.45
43,veh0,359.87,228.48,35,9.89
44,veh0,368.73,229.82,34,8.96
45,veh0,377.61,231.17,34,8.98
46,veh0,386.58,232.52,34,9.07
47,veh0,396.2,233.98,34,9.73
48,veh0,405.75,235.43,34,9.66
49,veh0,414.92,236.81,34,9.27
50,veh0,423.69,238.14,34,8.87
51,veh0,432.29,239.44,34,8.7
52,veh0,441.98,240.91,34,9.8
53,veh0,451.03,242.28,34,9.15
54,veh0,460.2,243.66,34,9.28
55,veh0,469.95,245.14,34,9.87
56,veh0,478.65,246.46,34,8.8
57,veh0,488.44,247.94,34,9.9
58,veh0,497.3,249.28,34,8.97
59,veh0,506.46,250.66,35,9.26
60,veh0,515.98,252.1,35,9.63
61,veh0,525.27,253.51,35,9.4
62,veh0,535.06,254.99,35,9.91
63,veh0,544.74,256.46,35,9.79
64,veh0,554.2,257.89,35,9.57
65,veh0,563.89,259.35,35,9.8
66,veh0,573.48,260.8,35,9.7
67,veh0,582.73,262.2,35,9.36
68,veh0,592.34,263.66,35,9.72
69,veh0,601.89,265.1,35,9.66
70,veh0,610.59,266.42,35,8.8
71,veh0,620.48,267.91,35,10
72,veh0,629.39,269.24,35,9.01
73,veh0,638.98,270.49,35,9.68
74,veh0,648.87,271.77,42,9.98
75,veh0,658.12,272.97,42,9.33
76,veh0,667.46,274.31,42,9.44
77,veh0,677.23,275.8,42,9.89
78,veh0,686.5,277.21,42,9.37
79,veh0,695.38,278.55,42,8.98
80,veh0,704.18,279.89,42,8.91
81,veh0,713.79,281.35,42,9.72
82,veh0,723.46,282.82,42,9.78
83,veh0,733.02,284.28,42,9.67
84,veh0,742.51,285.72,42,9.6
85,veh0,751.61,287.1,42,9.2
86,veh0,760.28,288.42,42,8.78
87,veh0,769.03,289.75,42,8.84
88,veh0,778.65,291.21,42,9.73
89,veh0,788.15,292.66,42,9.62
90,veh0,797.18,294.03,36,9.14
91,veh0,806.96,295.52,36,9.89
92,veh0,815.83,296.86,36,8.96
93,veh0,825.05,298.26,36,9.33
94,veh0,833.88,299.61,36,8.94
95,veh0,842.77,300.96,36,8.99
96,veh0,851.5,302.29,36,8.83
97,veh0,860.28,303.62,36,8.88
98,veh0,868.93,304.94,36,8.75
99,veh0,878.46,306.38,36,9.64
100,veh0,887.56,307.77,36,9.2
101,veh0,896.76,309.17,36,9.31
102,veh0,905.88,310.55,36,9.23
103,veh0,915.61,312.03,36,9.85
104,veh0,924.26,313.35,36,8.75
105,veh0,934.03,314.83,36,9.89
106,veh0,943.61,316.29,36,9.69
107,veh0,952.25,317.6,36,8.74
108,veh0,962.05,319.09,36,9.91
109,veh0,971.66,320.55,36,9.73
110,veh0,980.85,321.95,36,9.29
111,veh0,989.53,323.27,36,8.78
112,veh0,999.4,324.77,36,9.99
113,veh0,1009.04,326.23,36,9.75
114,veh0,1018.05,327.6,36,9.11
115,veh0,1026.68,328.91,36,8.73
116,veh0,1036.47,330.4,36,9.91
117,veh0,1045.81,331.82,36,9.45
118,veh0,1055,333.22,36,9.29
119,veh0,1064.48,334.66,36,9.59
120,veh0,1073.56,336.04,36,9.19
121,veh0,1082.84,337.45,35,9.39
122,veh0,1092.32,338.89,35,9.59
123,veh0,1101,340.21,35,8.78
124,veh0,1110.22,341.61,35,9.32
125,veh0,1119.96,343.09,35,9.85
126,veh0,1129.42,344.53,35,9.57
127,veh0,1138.26,345.87,35,8.95
128,veh0,1147.48,347.28,35,9.32
129,veh0,1156.89,348.71,35,9.52
130,veh0,1166.51,350.17,35,9.74
131,veh0,1176.34,351.66,35,9.94
132,veh0,1185.73,353.09,35,9.5
133,veh0,1194.85,354.48,35,9.22
134,veh0,1204.06,355.88,35,9.32
135,veh0,1212.87,357.22,35,8.91
136,veh0,1221.6,358.54,35,8.83
137,veh0,1230.47,359.89,35,8.97
138,veh0,1239.72,361.3,35,9.37
139,veh0,1249.21,362.74,35,9.59
140,veh0,1258.97,364.22,35,9.88
141,veh0,1268.25,365.63,35,9.39
142,veh0,1277.46,367,35,9.31
143,veh0,1286.49,368.27,35,9.13
144,veh0,1296.33,369.65,35,9.94
145,veh0,1305.6,370.96,35,9.36
146,veh0,1314.32,372.18,35,8.8
147,veh0,1322.99,373.4,35,8.76
148,veh0,1331.64,374.61,35,8.74
149,veh0,1341.32,375.98,35,9.78
150,veh0,1350.64,377.29,35,9.41
151,veh0,1359.34,378.51,35,8.78
152,veh0,1368.74,379.75,34,9.49
153,veh0,1378.39,380.64,34,9.7
154,veh0,1387.76,381.5,34,9.41
155,veh0,1397.6,382.4,34,9.88
156,veh0,1406.61,383.22,34,9.06
157,veh0,1416.5,384.12,34,9.92
158,veh0,1425.87,384.95,34,9.41
159,veh0,1434.86,385.75,34,9.03
160,veh0,1444.71,386.62,34,9.89
161,veh0,1453.57,387.4,34,8.9
162,veh0,1463.24,388.14,34,9.7
163,veh0,1472.65,388.5,34,9.42
164,veh0,1481.38,388.83,34,8.73
165,veh0,1490.51,389.19,34,9.14
166,veh0,1500.24,389.56,34,9.74
167,veh0,1509.56,389.92,36,9.32
168,veh0,1518.98,390.28,36,9.43
169,veh0,1528.32,390.62,36,9.34
170,veh0,1538.15,390.94,36,9.84
171,veh0,1546.86,391.23,36,8.71
172,veh0,1555.66,391.52,36,8.8
173,veh0,1564.36,391.81,36,8.71
174,veh0,1573.45,392.09,36,9.1
175,veh0,1582.83,391.93,36,9.38
176,veh0,1592.63,391.76,36,9.81
177,veh0,1602.2,391.6,36,9.57
178,veh0,1611.41,391.44,36,9.22
179,veh0,1620.43,391.28,36,9.03
180,veh0,1629.82,391.1,36,9.39
181,veh0,1639.42,390.71,36,9.61
182,veh0,1648.99,390.33,35,9.57
183,veh0,1658.01,389.96,35,9.03
184,veh0,1667.43,389.58,35,9.44
185,veh0,1677.31,389.19,35,9.88
186,veh0,1686.36,388.82,35,9.06
187,veh0,1695.62,388.45,35,9.27
188,veh0,1705.33,388.06,35,9.71
189,veh0,1714.26,387.7,35,8.94
190,veh0,1723.91,387.31,35,9.66
191,veh0,1733.89,386.91,35,9.99
192,veh0,1743.83,386.51,35,9.96
193,veh0,1752.73,386.15,35,8.91
194,veh0,1762.43,385.76,35,9.71
195,veh0,1772.14,385.37,35,9.72
196,veh0,1782.03,384.97,35,9.9
197,veh0,1791.16,384.6,36,9.13
198,veh0,1800.69,384.22,36,9.54
199,veh0,1810.66,383.82,36,9.98
200,veh0,1820.19,383.43,36,9.54
201,veh0,1829.36,383.06,36,9.18
202,veh0,1838.83,382.68,36,9.47
203,veh0,1848.72,382.28,36,9.9
204,veh0,1857.82,381.92,36,9.11
205,veh0,1866.75,381.56,36,8.94
206,veh0,1876.12,381.18,36,9.38
207,veh0,1885.73,380.79,36,9.62
208,veh0,1895.26,380.41,36,9.54
209,veh0,1905.16,380.01,36,9.91
210,veh0,1914.04,379.65,36,8.89
211,veh0,1923.24,379.28,36,9.21
212,veh0,1932.96,378.89,36,9.72
213,veh0,1942.62,378.5,36,9.67
214,veh0,1951.48,378.14,36,8.87
215,veh0,1960.81,377.77,36,9.34
216,veh0,1970.01,377.4,36,9.22
217,veh0,1978.81,377.04,36,8.81
218,veh0,1988.06,376.67,36,9.26
219,veh0,1997.13,376.31,36,9.08
220,veh0,2006.03,375.95,36,8.9
221,veh0,2014.77,375.6,36,8.75
222,veh0,2024.73,375.2,36,9.97
223,veh0,2033.77,374.83,36,9.04
224,veh0,2043.39,374.44,36,9.64
225,veh0,2052.92,374.06,36,9.54
226,veh0,2062.71,373.67,36,9.79
227,veh0,2072.39,373.28,36,9.69
228,veh0,2081.71,372.9,36,9.33
229,veh0,2091.11,372.52,36,9.41
230,veh0,2100.24,372.15,36,9.14
231,veh0,2109.87,371.77,36,9.65
232,veh0,2118.96,371.4,36,9.09
233,veh0,2128.12,371.03,36,9.17
234,veh0,2137.47,370.65,36,9.36
235,veh0,2146.95,370.27,36,9.49
236,veh0,2155.92,369.91,36,8.98
237,veh0,2165.81,369.51,36,9.9
238,veh0,2175.02,369.18,36,9.22
239,veh0,2183.77,368.93,36,8.75
240,veh0,2193.16,368.66,36,9.39
241,veh0,2202.99,368.38,36,9.84
242,veh0,2212.28,368.11,37,9.29
243,veh0,2222.23,367.83,37,9.96
244,veh0,2231.56,367.56,37,9.34
245,veh0,2240.6,367.3,37,9.05
246,veh0,2250.33,367.02,37,9.73
247,veh0,2259.77,366.75,37,9.44
248,veh0,2269.33,366.47,37,9.56
249,veh0,2278.31,366.22,37,8.99
250,veh0,2288.18,365.93,37,9.87
251,veh0,2297.87,365.66,37,9.7
252,veh0,2307.31,365.38,37,9.45
253,veh0,2316.09,365.13,37,8.78
254,veh0,2325.09,364.87,37,9
255,veh0,2334.18,364.61,37,9.09
256,veh0,2342.98,364.36,37,8.81
257,veh0,2351.81,364.07,37,8.83
258,veh0,2361.24,363.74,36,9.44
259,veh0,2370.74,363.41,36,9.51
260,veh0,2380.42,363.08,36,9.68
261,veh0,2389.74,362.75,36,9.33
262,veh0,2399.67,362.41,36,9.94
263,veh0,2408.88,362.09,36,9.22
264,veh0,2418.55,361.75,36,9.68
265,veh0,2428.1,361.42,36,9.55
266,veh0,2437.75,361.09,36,9.67
267,veh0,2447.39,360.75,36,9.65
268,veh0,2456.71,360.43,36,9.33
269,veh0,2465.49,360.13,36,8.78
270,veh0,2474.34,359.82,36,8.85
271,veh0,2484.14,359.48,36,9.81
272,veh0,2493.29,359.16,36,9.16
273,veh0,2502.61,358.84,36,9.33
274,veh0,2512.44,358.5,36,9.84
275,veh0,2521.78,358.18,36,9.34
276,veh0,2531.45,357.84,36,9.68
277,veh0,2540.66,357.52,36,9.22
278,veh0,2549.43,357.22,36,8.77
279,veh0,2559.06,356.88,36,9.64
280,veh0,2568.9,356.54,36,9.85
281,veh0,2578.85,356.2,36,9.96
282,veh0,2587.64,355.89,36,8.8
283,veh0,2596.72,355.58,36,9.08
284,veh0,2606.1,355.25,36,9.39
285,veh0,2615.91,354.91,36,9.82
286,veh0,2625.27,354.59,36,9.37
287,veh0,2634.52,354.27,36,9.26
288,veh0,2643.63,353.95,39,9.11
289,veh0,2653.01,353.63,39,9.39
290,veh0,2662.66,353.29,39,9.66
291,veh0,2671.4,352.99,39,8.75
292,veh0,2681.04,352.65,39,9.65
293,veh0,2690.38,352.33,39,9.35
294,veh0,2699.09,352.03,39,8.72
295,veh0,2708.56,351.7,39,9.47
296,veh0,2718.14,351.37,39,9.58
297,veh0,2727.14,351.1,39,9
298,veh0,2736,350.85,39,8.86
299,veh0,2745.43,350.59,39,9.44
300,veh0,2754.76,350.33,39,9.34
301,veh0,2763.66,350.08,39,8.9
302,veh0,2772.47,349.84,39,8.82
303,veh0,2781.61,349.58,39,9.14
304,veh0,2791.27,349.31,39,9.67
305,veh0,2800.45,349.06,39,9.18
306,veh0,2810.17,348.78,39,9.73
307,veh0,2819.73,348.52,39,9.57
308,veh0,2829.28,348.25,39,9.55
309,veh0,2838.46,348,39,9.18
310,veh0,2847.87,347.73,39,9.42
311,veh0,2857.7,347.46,39,9.83
312,veh0,2867.63,347.18,39,9.93
313,veh0,2876.83,346.93,39,9.21
314,veh0,2886.22,346.66,39,9.4
315,veh0,2895.02,346.42,39,8.81
316,veh0,2904.56,346.15,39,9.54
317,veh0,2914.26,345.88,39,9.71
318,veh0,2923.67,345.62,40,9.41
319,veh0,2932.55,345.37,40,8.89
320,veh0,2941.44,345.12,40,8.89
321,veh0,2950.58,344.87,40,9.15
322,veh0,2959.55,344.62,40,8.97
323,veh0,2968.51,344.37,40,8.97
324,veh0,2977.55,344.12,40,9.04
325,veh0,2987.28,343.84,40,9.73
326,veh0,2996.58,343.59,40,9.3
327,veh0,3005.56,343.34,40,8.99
328,veh0,3014.63,342.96,40,9.08
329,veh0,3023.42,342.47,40,8.8
330,veh0,3033.24,341.93,40,9.84
331,veh0,3042.98,341.39,40,9.75
332,veh0,3051.79,340.91,40,8.82
333,veh0,3061.28,340.38,40,9.51
334,veh0,3070.68,339.86,42,9.41
335,veh0,3079.85,339.36,42,9.19
336,veh0,3089.49,338.83,42,9.66